municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
Norwood,57.157367900729824,6.551080335043404,-0.0911758806658699,-2.967561396587295,-1.3361445774344192,-1.7635885922613588,-2.20421761282719,-2.856121834853086,4.522844098877271,98.297,19.3389950323924,1945.4238185768604,3.9904213993408937,3.078205807426108,0.3494125233988757,0.0,0.0363002196098695,0.0669164190673039
Peabody,89.06555989639082,6.787844982309579,-0.0402584554802637,-3.792112708755589,-1.7379889750600424,-1.3987732524930787,-2.835883572612095,-2.1314368367982164,4.637463864494479,98.653,19.7584676378896,1949.5885145124892,4.079201288572006,3.1324603795240327,0.0188262578432156,0.0640461593941579,0.7593725207356651,0.9886043995672557
Pembroke,96.39956331234076,6.855408798609928,-0.0386729180149593,-3.859676525055937,-1.318074531591391,-2.524675458323597,-4.365073392297914,-1.5078107930090283,4.792486557840285,95.587,20.16059582138718,1964.7632909185984,2.9616891705002253,2.336750795309739,0.0627516329043272,2.5,0.0,0.0915830115830115
Quincy,40.97681956939394,6.499787040655854,-0.1247622208277577,-2.738586924962292,-2.182298927119544,-1.0748370231744515,-3.4263979952794537,-1.998032420238876,4.612454719495945,97.969,19.863544809029275,1928.4381629028169,4.643516978574282,3.7456442924968254,0.6152104538242402,2.885800823842985,0.4578265083595832,0.1897746547128664
Randolph,97.78132848983302,6.860663671448287,-1.0986122886681098,-0.7121953755306398,-1.457986289576007,-2.151133470135953,-3.581035699037503,-3.1520400935191444,4.509624944096725,98.62,19.234952863240505,1954.8153622486068,3.696564516475545,2.8701840654987216,0.2433463092600897,0.0,0.0,0.0608666138703473
Reading,97.86645590784234,5.556828061699537,-0.1586653601817849,-3.947390149265437,-1.2260947214132063,-2.1556306800373823,-3.232532151315686,-1.268922425160972,4.779086247176583,96.815,19.323124518093703,1947.6497119572853,4.0320851343880975,3.423593499460494,0.1623066815404075,0.0019432568985619,0.0072548257546314,0.0777302759424796
Revere,2.8137978541388304,5.278114659230517,-0.4029173360293656,-1.4714521694601974,-1.540445040947149,-1.9459101490553132,-2.104330830443523,-2.360264204580724,4.633788752361076,95.648,18.67343699580691,1941.9954621682944,4.697297002269298,3.699841053839629,0.4427466893678795,2.760492626802787,0.8841759844433641,0.901231567006968
Rockland,54.17798457380641,7.010311867307229,-0.0827539610289123,-3.1184915691966024,-1.7580384392605992,-1.898324078950686,-3.2775006682157244,-3.258808535203572,4.620302389658295,91.773,19.37564520224489,1940.8533950617284,3.459884897102209,2.613001759761338,0.137438323297143,2.645753479927376,0.0,0.0004034698406294
Rockport,73.2090725946021,6.529418838262226,-0.0821129757210121,-2.945899899806115,-1.4542450230283983,-1.8850279391208529,-3.5830137603700947,-3.4159596757069286,4.450973161979442,88.987,19.051520082201232,1930.7091945830364,4.123049658998485,3.3851809044039185,0.2491819506995637,2.5,0.0,0.1484703059388122
Salem,69.13552273514968,7.484930283289661,-0.1331304142318851,-2.508196540869087,-2.1096518756054965,-1.327951297704106,-3.1299134550200107,-3.2132950639590616,4.411567602300901,90.599,19.14474141164117,1916.2154233025983,4.794073414452202,3.4618297078631683,0.7261258356711021,2.6577450652392103,0.0,0.0635664101706256
Saugus,0.0,6.364750756851911,-0.1342693092734293,-3.725693427236653,-1.8321512636986552,-1.9703016021794728,-6.675823221634848,-2.2331719651445314,4.479615552270161,91.927,19.438480729049424,1947.5561904761903,4.049381178026375,3.350939429221257,0.1859099726233391,2.9777653003930378,0.0,0.1108366086468276
Scituate,0.0,5.476463551931511,-0.0340458414097171,-4.09016919081162,-1.584643253820884,-1.6478221554424155,-3.743604353803183,-1.0580270085530314,4.865670446111785,97.753,19.857789943138226,1951.2005781938328,4.018390758181112,3.417960790126579,0.1547454701554803,3.0,0.0,0.0005925574780753
Sharon,98.4283190307621,5.733341276897746,-0.1649967731366485,-3.3354460040993748,-1.1586302983943626,-2.2069807522815843,-3.589672804030488,-1.1078573468121609,4.905168499152817,98.9,20.21829819131086,1962.142702312139,3.1645469068869025,2.59717149601623,0.1378608224962391,0.0950163018164881,0.0,0.1172178233193603
Sherborn,99.86852084816752,6.013715156042802,-0.0761789509603754,-3.615819883244431,-1.243030531577137,-1.582898357199488,-3.0889423475811992,-0.9443615037304018,4.970670030809524,96.436,19.89456773334272,1953.8198074277852,2.092943782442383,1.3996521866988774,0.0301167999806571,0.0,0.0,0.2241653418124006
Somerville,0.0,0.0,0.0,0.0,0.0,0.0,-3.0626717562291,-1.8899514954072687,4.61272282034303,98.509,18.251302137346336,1909.805177220231,5.866550783865891,4.922823457201057,1.3214399452654988,2.765169668392981,1.9653319935069955,0.8665842158151039
Southborough,0.0,5.752572638825633,-0.169076330043934,-3.555348061489413,-1.1882244473577968,-2.256065077359153,-3.871201010907891,-0.8754687373538999,4.974518217388296,96.912,19.806873110412624,1967.9517961314093,3.032574974629606,2.144600678440162,0.0703360501006181,2.534143049932524,0.324914979757085,0.988663967611336
Stoneham,0.0,6.870053411798126,-0.0867282111941656,-3.4043175089983992,-1.419014958232425,-1.979704283576372,-2.940483799323512,-1.3876162383778063,4.7421677865891,97.798,18.686142208896342,1945.2325780981805,4.195694984246165,3.451605183771934,0.3568229745288599,0.0,0.0,0.0326550705612077
Stoughton,87.65135487397838,7.051855622955894,-0.3196449164886877,-1.8757058903820647,-1.3854289348434616,-1.958105422149132,-3.1886563393072103,-2.315127466771137,4.600019647111346,88.198,19.845519636268065,1959.989867717422,3.293104477161944,2.3953559938410454,0.1079777255196357,0.0,0.0,0.156475458308693
Stow,0.0345961613154492,6.2878585601617845,-0.0752524644102657,-3.722909202700248,-1.2002622249294002,-2.160724175116693,-3.3860505659021696,-1.2776214873490814,4.797735009785101,97.299,19.971083882655392,1964.05943738657,2.7213181840670457,2.0361266549048604,0.1018367744992465,3.0,0.0002358490566037,0.1293238993710692
Sudbury,99.78001229914196,6.246106765481563,-0.2496546768625416,-2.314281132757237,-1.2973468751033943,-1.5365765641692286,-3.1453614686624034,-1.0250979324623124,4.935755303824024,97.35,20.2952010611289,1967.9532560214093,2.8350091741843606,2.176095084735973,0.0600944281747502,0.008887171561051,0.0,0.126275115919629
Swampscott,77.84996661125881,6.874198495453294,-0.0662635517533681,-3.1606264287489867,-2.309850303985458,-0.7321610898659381,-3.49578580033807,-2.733645748291174,4.465665644129622,95.734,18.097387189727183,1932.1706404862084,4.459544649563438,3.5080427853526173,0.2983774827739134,2.5188334050796386,0.0,0.0647869134739561
Topsfield,98.9609131510746,5.3612921657094255,-0.0382821865710169,-5.3612921657094255,-1.1716374236829996,-1.834931641093264,-7.029087564149662,-1.2989877811760877,4.865945511686872,96.375,19.63525362649744,1956.1027992277996,2.8236098460239587,2.1174744603380216,0.0571016474884892,2.5051238257899238,0.2521349274124679,0.9722459436379164
Wakefield,1.357756627303077,6.926577033222725,-0.0806971579586752,-3.4608411304229985,-1.537505303406224,-2.122555988489468,-2.665603510854953,-2.134211609507485,4.646859680649863,98.008,18.982087062424032,1940.9095145631068,4.256528950303474,3.477742965430876,0.2202456466770963,2.6362505921364283,0.0752013263855992,0.1172430127901468
Walpole,90.51544378460504,6.876264611890766,-0.0378594110434223,-4.103675889650985,-1.2237754316221157,-1.5009862042066011,-3.9771295470297257,-1.1140632398238288,4.78964721949522,83.266,20.10243629728623,1962.7323081304287,3.1640863996420725,2.4114220826375865,0.1743522005969441,0.0,0.0,0.0743030150119843
