,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
37,Ipswich,0.0,6.059123195581797,-0.04296603588344325,-5.365976015021851,-1.2799997024702674,-2.0701391490175225,-3.5503667311392095,-1.873676591695942,4.414198827286467,93.414,20.600035451415934,1945.5110152168975,3.885294314952363,2.9176123447658995,0.15515928550182265,2.8677168343139114,0.0,0.13114442968305182
38,Lexington,0.0,6.336825731146441,-0.25460682076999486,-3.158771900798495,-1.1438688802562307,-2.366533817594319,-3.418507019197247,-0.9496007107556879,4.876151066716461,88.434,19.804781687294433,1958.3005307855626,4.460919788147755,3.8103473895713083,0.3084524852214288,0.0,0.0,0.06216189633126783
39,Lincoln,97.49190363342778,6.180016653652572,-0.07969770163250857,-5.486869473092628,-1.8625285401162623,-0.9070170950888259,-3.023981174942371,-1.2645746701660816,4.733486500971291,98.688,19.806957883611222,1953.825637910085,2.8194159450768823,2.2402307446194114,0.03818437236773348,2.5024038461538463,0.0,0.270541958041958
40,Littleton,0.0,5.247024072160486,-0.026668247082161294,-4.553876891600541,-1.221672381425337,-2.0689702418125404,-4.925181145555232,-1.2763799150087065,4.835350190175427,98.949,19.854399424317958,1967.7420484388679,2.919942825944774,2.01328878203571,0.06679884221278683,3.0153637596023497,0.0,0.21260732037957525
41,Lynn,38.80490237827379,5.605802066295998,-0.1004705303636345,-3.996364153861897,-1.3153426251476061,-1.942240420166351,-3.4104140367670794,-2.6372241485335977,4.522960554732886,87.446,19.421124184953836,1923.3589367552704,4.6769021358975,3.609244125167461,0.3858736100148985,0.0,0.0,0.03840966398874098
42,Lynnfield,0.0,6.311734809152915,-0.06369193464448535,-4.009149716158869,-1.2303304441684515,-1.7473866176850783,-3.898177598606093,-1.7507853950177492,4.725769331644117,98.085,19.349187990965174,1958.9495331819328,3.570593880483035,3.119008292794196,0.11766976040091093,0.005226480836236934,0.0,0.06829268292682927
43,Malden,0.0,7.1180162044653335,-0.6487658876695606,-1.4446929372938406,-1.604587458300351,-2.553668012997497,-4.075841090657541,-1.57440513891833,4.73743589702311,93.811,18.54351671203977,1922.4793662840339,4.847167696497592,3.9359756022690164,0.4245310919591875,0.03251151449471688,0.0,0.044071164092838434
44,Manchester,95.41143853309289,6.660575149839686,-0.052574524543599115,-3.770203391943521,-1.473189343998931,-1.6499398557434302,-3.048715315983459,-1.2184895659276078,4.776198053779974,96.665,19.10285160332044,1937.6594538897475,4.060709279354537,3.233916459975694,0.16048210609391056,2.5,0.0,0.14803625377643503
45,Marblehead,88.4360937594057,6.423246963533519,-0.03974032864951411,-3.784189633918261,-1.348073148299693,-1.6610730287357638,-3.0265039322207445,-1.330888323545592,4.69570428660554,97.968,18.456513110655898,1931.0693288962839,4.712954678509861,4.2068219906257776,0.32687415247927404,0.10301250957365331,0.0,0.06254786826653051
46,Marlborough,0.0,6.787844982309579,-0.2555106900872301,-2.55373847771232,-1.657946267386506,-1.975660626937162,-2.8820631047571474,-1.7905682838579018,4.647003602023344,97.694,20.11132964372806,1950.8278935185185,3.3461180115204137,2.2383666153451083,0.26807011089425614,2.3591832525523357,0.0,0.0834278642879241
